Nome,Data de Criação,Pull Requests Aceitas,Total de Releases,Última Atualização,Linguagem Primária,Issues Fechadas,Issues Abertas
fuel-core,2020-08-27T21:12:14Z,1390,113,2025-03-02T15:56:49Z,Rust,100,0
llama,2023-02-14T09:29:12Z,54,0,2025-03-02T19:07:35Z,Python,95,5
prometheus,2012-11-24T11:14:12Z,7140,328,2025-03-02T18:55:30Z,Go,99,1
spring-framework,2010-12-08T04:04:45Z,851,324,2025-03-02T19:36:58Z,Java,100,0
lazygit,2018-05-19T00:53:06Z,1504,160,2025-03-02T21:32:51Z,Go,97,3
html5-boilerplate,2010-01-24T18:03:24Z,773,34,2025-03-02T21:13:01Z,JavaScript,100,0
lobe-chat,2023-05-21T07:19:12Z,1843,1000,2025-03-02T20:06:07Z,TypeScript,100,0
rustlings,2015-09-15T02:25:18Z,905,45,2025-03-02T21:54:33Z,Rust,100,0
nerd-fonts,2014-12-05T04:31:17Z,521,37,2025-03-02T20:19:35Z,CSS,100,0
rails,2008-04-11T02:19:47Z,24721,145,2025-03-02T21:53:09Z,Ruby,100,0
nuxt,2016-10-26T11:18:47Z,6211,234,2025-03-02T20:40:38Z,TypeScript,100,0
gatsby,2015-05-21T22:43:05Z,18147,149,2025-03-02T17:29:18Z,JavaScript,100,0
DeepLearning-500-questions,2018-06-27T06:36:45Z,302,0,2025-03-02T21:41:39Z,JavaScript,67,33
private-gpt,2023-05-02T09:15:31Z,226,10,2025-03-02T21:15:15Z,Python,100,0
you-get,2012-08-20T15:53:36Z,582,123,2025-03-02T13:15:52Z,Python,0,0
leetcode,2018-03-30T09:13:51Z,257,40,2025-03-02T21:11:16Z,JavaScript,98,2
ghidra,2019-03-01T03:27:48Z,496,42,2025-03-02T17:32:29Z,Java,92,8
zed,2021-02-20T03:01:06Z,11193,736,2025-03-02T21:13:07Z,Rust,100,0
awesome-flutter,2017-05-07T11:45:27Z,444,0,2025-03-02T19:57:25Z,Dart,0,0
scrapy,2010-02-22T02:01:14Z,2257,39,2025-03-02T18:19:20Z,Python,96,4
awesome-chatgpt-prompts-zh,2022-12-12T01:55:03Z,33,0,2025-03-02T17:28:58Z,N/A,58,38
leetcode-master,2019-12-14T12:05:42Z,2291,0,2025-03-02T18:36:22Z,Shell,34,66
face_recognition,2017-03-03T21:52:39Z,94,2,2025-03-02T21:54:48Z,Python,99,1
element,2016-09-03T06:19:26Z,3231,145,2025-03-02T07:32:25Z,Vue,100,0
react-router,2014-05-16T22:22:51Z,2755,294,2025-03-02T21:13:13Z,TypeScript,100,0
tldr,2013-12-08T07:34:43Z,12959,5,2025-03-02T21:04:59Z,Markdown,100,0
Prompt-Engineering-Guide,2022-12-16T16:04:50Z,302,0,2025-03-02T21:44:54Z,MDX,54,46
git,2008-07-23T14:21:26Z,3,0,2025-03-02T21:44:49Z,C,0,0
ChatGPT,2022-12-07T09:43:02Z,123,34,2025-03-02T21:56:04Z,Rust,93,7
Real-Time-Voice-Cloning,2019-05-26T08:56:15Z,48,0,2025-03-02T18:56:39Z,Python,98,2
traefik,2015-09-13T19:04:02Z,4501,461,2025-03-02T21:46:04Z,Go,94,6
faceswap,2017-12-19T09:44:13Z,357,4,2025-03-02T17:50:36Z,Python,99,1
gpt-engineer,2023-04-29T12:52:15Z,351,20,2025-03-02T15:48:40Z,Python,100,0
weekly,2018-10-13T12:36:07Z,93,0,2025-03-02T16:42:19Z,N/A,40,60
Stirling-PDF,2023-01-27T18:22:42Z,1540,115,2025-03-02T21:55:49Z,Java,94,6
normalize.css,2011-05-04T10:20:25Z,56,0,2025-03-02T17:38:40Z,CSS,100,0
drawio-desktop,2017-05-25T20:58:42Z,20,151,2025-03-02T18:25:40Z,JavaScript,100,0
openpilot,2016-11-24T01:33:30Z,10923,55,2025-03-02T21:49:28Z,Python,100,0
yolov5,2020-05-18T03:45:11Z,2178,10,2025-03-02T17:50:38Z,Python,98,2
requests,2011-02-13T18:38:17Z,1567,12,2025-03-02T20:10:38Z,Python,100,0
mkcert,2018-06-25T05:33:03Z,52,14,2025-03-02T18:14:41Z,Go,89,11
nocodb,2017-10-29T18:51:48Z,4454,163,2025-03-02T19:46:03Z,TypeScript,91,9
hackingtool,2020-04-11T09:21:31Z,55,0,2025-03-02T18:39:26Z,Python,100,0
awesome-android-ui,2014-12-24T01:45:03Z,90,0,2025-03-02T21:16:12Z,N/A,91,9
